 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 695.741    2.62919e-02    2.62878e-02    4.12129e-06
 696.565    2.66090e-02    2.65768e-02    3.22132e-05
 697.390    2.66885e-02    2.66801e-02    8.44939e-06
 698.215    2.64427e-02    2.65063e-02   -6.35809e-05
 699.039    2.60856e-02    2.61531e-02   -6.74567e-05
 699.864    2.58294e-02    2.57781e-02    5.12813e-05
 700.689    2.54750e-02    2.55144e-02   -3.93596e-05
 701.513    2.53796e-02    2.54656e-02   -8.59636e-05
 702.338    2.56424e-02    2.56436e-02   -1.21923e-06
 703.162    2.59156e-02    2.59151e-02    5.16947e-07
 703.987    2.60880e-02    2.61033e-02   -1.52843e-05
 704.811    2.60750e-02    2.61424e-02   -6.73903e-05
 705.635    2.60791e-02    2.60998e-02   -2.07172e-05
 706.460    2.60036e-02    2.60789e-02   -7.52932e-05
 707.284    2.61756e-02    2.61194e-02    5.62474e-05
 708.108    2.61249e-02    2.61764e-02   -5.14854e-05
 708.933    2.62188e-02    2.61989e-02    1.98873e-05
 709.757    2.62012e-02    2.61925e-02    8.68926e-06
 710.581    2.60435e-02    2.61770e-02   -1.33475e-04
 711.405    2.61488e-02    2.61359e-02    1.28683e-05
 712.229    2.60610e-02    2.60342e-02    2.68300e-05
 713.053    2.58575e-02    2.58395e-02    1.79887e-05
 713.877    2.55970e-02    2.55068e-02    9.02419e-05
 714.701    2.49136e-02    2.49726e-02   -5.90227e-05
 715.525    2.41829e-02    2.41687e-02    1.42239e-05
 716.349    2.31239e-02    2.30805e-02    4.33708e-05
 717.173    2.18904e-02    2.18467e-02    4.37219e-05
 717.997    2.06094e-02    2.07605e-02   -1.51137e-04
 718.820    2.01268e-02    2.01286e-02   -1.82364e-06
 719.644    2.02414e-02    2.01364e-02    1.04991e-04
 720.468    2.07235e-02    2.07230e-02    4.98734e-07
 721.291    2.14692e-02    2.15053e-02   -3.60723e-05
 722.115    2.19749e-02    2.19882e-02   -1.33170e-05
 722.939    2.18813e-02    2.19478e-02   -6.64778e-05
 723.762    2.15905e-02    2.15591e-02    3.14213e-05
 724.586    2.10900e-02    2.11522e-02   -6.21818e-05
 725.409    2.08984e-02    2.09154e-02   -1.69801e-05
 726.232    2.08343e-02    2.08267e-02    7.55026e-06
 727.056    2.07975e-02    2.07791e-02    1.84405e-05
 727.879    2.07334e-02    2.07216e-02    1.17802e-05
 728.702    2.06392e-02    2.06973e-02   -5.80865e-05
 729.525    2.07239e-02    2.07770e-02   -5.31459e-05
 730.348    2.09847e-02    2.10122e-02   -2.75480e-05
 731.171    2.13442e-02    2.14409e-02   -9.67083e-05
 731.994    2.20533e-02    2.20430e-02    1.02590e-05
 732.817    2.27072e-02    2.26860e-02    2.12134e-05
 733.640    2.31575e-02    2.31757e-02   -1.82053e-05
 734.463    2.33666e-02    2.33905e-02   -2.38632e-05
 735.286    2.33218e-02    2.33798e-02   -5.80079e-05
 736.109    2.32862e-02    2.33134e-02   -2.71898e-05
 736.932    2.32715e-02    2.33134e-02   -4.18801e-05
 737.754    2.32258e-02    2.33734e-02   -1.47612e-04
 738.577    2.35631e-02    2.34510e-02    1.12108e-04
 739.399    2.36316e-02    2.35485e-02    8.30634e-05
 740.222    2.36809e-02    2.36779e-02    2.98104e-06
 741.044    2.38523e-02    2.38374e-02    1.49471e-05
 741.867    2.39894e-02    2.40412e-02   -5.18237e-05
 742.689    2.43948e-02    2.42897e-02    1.05071e-04
 743.511    2.47105e-02    2.45211e-02    1.89360e-04
 744.334    2.47409e-02    2.46725e-02    6.84157e-05
 745.156    2.47734e-02    2.47586e-02    1.47828e-05
 745.978    2.48211e-02    2.48230e-02   -1.92352e-06
 746.800    2.48250e-02    2.48557e-02   -3.06908e-05
 747.622    2.48326e-02    2.48181e-02    1.44954e-05
 748.444    2.46769e-02    2.47089e-02   -3.20006e-05
 749.266    2.46183e-02    2.45691e-02    4.92014e-05
 750.088    2.44713e-02    2.44549e-02    1.64236e-05
 750.909    2.42901e-02    2.44088e-02   -1.18737e-04
 751.731    2.43596e-02    2.44307e-02   -7.11457e-05
 752.553    2.44848e-02    2.44833e-02    1.46552e-06
 753.374    2.43922e-02    2.45246e-02   -1.32404e-04
